"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"result.38",1.05401046739986,0.956566509130844,0.937264849891255,1.31359350194247,0.977127234847437,0.861689268024986,0.858501099016855,0.858515917755769,0.977888353812084,0.998876923331973,0.432059812235582,0.405449627885043,0.419446937982573,0.317682976400977,0.32516586533822,0.307403816551701,0.305330815084577,0.313241345115742,0.322521034950434,0.306027438302452,0.980402693575301,0.31408157073299
"result.39",0.947247929964577,0.911491321262268,0.956873469048437,0.950972795114563,0.930128118600031,1.0172215241759,1.17998549368542,1.08202357341673,1.21514765916398,1.43269904790174,0.398307791668147,0.377847428965424,0.395730576949625,0.387248977481329,0.384326210718113,0.364874235402472,0.331249670071195,0.327088525306671,0.326887504994331,0.344881755227127,1.16135872036255,0.36390075215898
"result.40",0.805203490033093,0.781205474794202,0.8343491234315,0.907300450559819,0.871058522682573,0.66763572334332,0.636465408884231,0.669926603197994,0.622359050661197,0.75475023961033,0.406945914953357,0.399529904484133,0.422419213583653,0.453306814877973,0.4341075111389,0.272808395747527,0.32557348715422,0.330206767344105,0.291422558484046,0.334499080979812,1.02720308183126,0.451130297473878
"result.41",1.70953911635798,0.929859213509669,0.920544810931072,0.948497173081859,0.943242395801539,0.931684143484132,0.974626120835029,0.990141155749137,0.958152174556045,0.974626120835029,0.456679029987255,0.395786383164401,0.359305211653911,0.334877010403187,0.33820071648167,0.336295944317339,0.331196400740613,0.323312476893927,0.335216553641744,0.331196400740613,0.990434961814108,0.329084684719051
"result.42",0.698211661481221,0.773673750745396,0.671315290123022,0.714156266732026,0.686366534672729,0.741080321369094,0.715462986678268,0.7065643402613,0.813424897700659,0.767811761624052,0.36103265862918,0.405817608410725,0.311511181010583,0.383681919141926,0.337197074737884,0.404206224680252,0.371408876180947,0.372322027714498,0.364745756885586,0.383006710011585,0.83541977505113,0.363717951737689
"result.43",0.979759569341369,0.964022973128239,0.941474045389431,0.955161422901204,0.983032013174743,0.785463482865385,0.853761115452844,0.92725237878487,0.89913675187947,0.887514372424465,0.509352346989561,0.499386940266025,0.473863756546919,0.494366048273996,0.511599046876943,0.408905889912449,0.453461566582639,0.496947771244083,0.473882204281658,0.462319669375822,1.56245182236412,0.524751401574891
"result.44",0.831733756571325,0.819918684228911,0.818339249803118,0.836512344822606,0.839438592553492,0.68328136335225,0.689081987790043,0.894969617111608,0.909651407367995,0.946535066191821,0.420340389537117,0.412895557148563,0.413153636132155,0.425895218658828,0.435888991406318,0.339928067887154,0.322492226732337,0.301425973364133,0.305773322483941,0.29404762266379,0.882888250515288,0.297071348808701
"result.45",1.3527841509891,1.2874440946497,1.40453713738565,1.45025737258857,0.91711516057159,0.744215419331286,0.804745142747288,0.756355726764675,0.820422649284073,0.83309422081527,0.459660411262432,0.46575240544448,0.471355126063423,0.42004696552515,0.355057095770069,0.325533708949186,0.293363838533912,0.342247094905774,0.310211949729129,0.304196200712794,0.81616821141979,0.33138389486682
"result.46",1.01984097756552,1.2073439768018,1.10373187651948,0.585124221551533,0.640132542184637,0.764312977504146,0.521507359168426,0.826669029037534,0.894603380805516,0.91873275168617,0.306620373496754,0.311110251395658,0.31275463432355,0.22694954141699,0.245117044892228,0.244367801004953,0.247841500192928,0.282760104144673,0.271941289693354,0.293505128720889,0.933764666508026,0.300572777932538
"result.47",1.42615918624866,1.76638160094511,0.866085093395256,0.856787699424378,0.872445454151084,0.823798704445736,0.836662847877789,0.839231027717156,0.851334937451071,0.82853930409304,0.51747510095197,0.512370017133185,0.337639017090833,0.36323635724039,0.337187567901404,0.328219446243535,0.345953074629768,0.340858063826846,0.345214685185607,0.333661177326541,0.831410331691348,0.339124116678342
"result.48",0.912813806285306,0.615568705115137,0.629389949857567,0.59260660001054,0.638836023679135,0.641122202691358,0.674466956634798,0.682755689593416,0.637862141452986,0.707045410234409,0.419445610114908,0.301056478638585,0.287053830587139,0.317872957770955,0.346052001127887,0.341071745093901,0.358214929542249,0.366019888147335,0.333084608594884,0.381022168616819,0.727999524331945,0.389841477808168
"result.49",1.14575524912906,1.63959309502036,1.24370589069086,1.18661754765358,1.15345490052026,0.889103728306236,0.982660302193696,0.981198912346503,0.89189536056866,0.933027074569789,0.426897345632026,0.426117621180847,0.402087521764991,0.410894622960366,0.397169736667251,0.35001976077156,0.339548692460446,0.319625919948502,0.344950558731043,0.320561060548517,0.90104204540644,0.344065318322333
"result.50",0.942249322261177,0.937853438428275,0.841288091714378,0.766923064108754,0.80613323593314,0.725886093402246,0.725950995636717,0.754081819489274,0.710957687811108,0.739277877734693,0.503974044583026,0.501560444815998,0.358736513565641,0.401478695584741,0.364644709385187,0.390222645857145,0.387816029576985,0.413259179167945,0.380555079333301,0.411002287848765,0.748800348322005,0.40583197421211
"result.51",0.862518901066904,0.949661211847517,0.597240210032965,0.795903690332644,1.05598927272021,1.29971568312184,1.34860748261783,1.40884941199847,1.15210808321019,1.35718702595862,0.223409921386204,0.246147610496149,0.289701474627901,0.262589948106621,0.262152693494342,0.313499816987547,0.321262093689602,0.326236714369979,0.31407475969139,0.306869738945485,1.1170411068589,0.305707438586734
"result.52",1.14028336249363,1.04533547719641,0.954584553075078,0.990299027996733,0.977873152107068,0.969350622199026,1.3533211082752,1.28141539369712,1.36227081045421,1.28941415506659,0.406501718416346,0.373328661338984,0.376205323350081,0.440708133318243,0.368582135730769,0.382392228427308,0.449846981503355,0.444525031827909,0.440662501087484,0.437890528441609,1.39169633823422,0.415434211011199
"result.53",0.736138704693364,0.78787917968019,0.732617618088502,0.760489873361145,0.76493236874991,0.744225258575295,0.745773065118974,0.734914568800294,1.06787183220047,1.28198572014015,0.309165549077927,0.349579855246083,0.297303634797436,0.315423054260724,0.32425346547181,0.298401661725435,0.305192308309815,0.303610998934287,0.270317658072624,0.292915702646267,1.00862134855192,0.279400997642195
"result.54",0.812027817558455,0.794095554622237,0.711068426679641,0.720902680480183,0.693616509108121,0.688935303694701,0.716841196382797,0.695586916572508,0.688935303694701,1.00247724723982,0.39822161216829,0.391045231164045,0.339317944547866,0.373509466756486,0.337540856446056,0.346924540201909,0.368913476260121,0.350556140542085,0.346924540201909,0.342200960081679,0.997151147618499,0.343598138175394
"result.55",0.753137832269796,0.851216267962475,0.787138854420999,0.819273597818188,0.808378207526542,0.839511903429563,0.884539925059257,0.942467747018363,0.938466795394664,1.88195013406204,0.380802654110966,0.365970384578105,0.369696775288996,0.367716654039211,0.391682424249605,0.35931545423693,0.365732768610144,0.347105100988276,0.360107035264338,0.484027445647738,1.88939000315303,0.488552990948221
"result.56",1.67673253657894,1.34210451726747,1.56240907112077,1.3016624463251,1.25171185626901,0.960733248097386,0.882104207224875,1.31225856355187,1.25802549387451,1.23068341808507,0.515937182499563,0.582376852469859,0.520778301935862,0.402522804360827,0.398613896664762,0.339961327792159,0.360862674087202,0.344345396221112,0.338541555506842,0.332044112059211,0.908814817434784,0.35856520576765
"result.57",0.663386542722534,0.70914899704001,0.915284098511369,1.24047669311787,0.832618958237516,1.08627151978762,0.827458143039169,0.804466700345577,0.447506166172303,1.01204647329096,0.298848921779007,0.319767339666787,0.297661321141291,0.32274394809093,0.294379568665531,0.305198016025299,0.28143454516764,0.286340617315052,0.203112268725998,0.325067615331394,1.02166684233934,0.374894729538561
