"R0000100","R0002200","R0002202","R0002203","R0002300","R0002400","R0002451","R0002454","R0002455","R0002456","R0002500","R0002700","R0002800","R0003400","R0003600","R0003800","R0003900","R0004000","R0004100","R0004300","R0005400","R0009100","R0010500","R0010800","R0011100","R0012800","R0015000","R0022600","R0022700","R0022800","R0022900","R0023000","R0023100","R0023200","R0023300","R0023400","R0023500","R0023600","R0023700","R0023800","R0024000","R0024100","R0024200","R0024300","R0024400","R0024500","R0024600","R0024800","R0024900","R0029700","R0029800","R0029900","R0030000","R0030100","R0030200","R0030300","R0030400","R0030500","R0030600","R0030700","R0030800","R0030900","R0031000","R0031100","R0031200","R0031300","R0031400","R0031500","R0031600","R0031700","R0031800","R0031900","R0032000","R0032100","R0032200","R0032300","R0032400","R0032500","R0032600","R0033600","R0033700","R0033800","R0033900","R0034600","R0034900","R0035100","R0035200","R0035300","R0035400","R0035500","R0035600","R0035700","R0035800","R0035900","R0036000","R0036100","R0037500","R0037600","R0037700","R0038000","R0038100","R0038200","R0038800","R0038900","R0039000","R0039100","R0039200","R0039300","R0039400","R0039500","R0039600","R0039700","R0039800","R0039900","R0040000","R0040100","R0040200","R0040400","R0040600","R0040700","R0040800","R0040900","R0041100","R0041300","R0041400","R0041500","R0042100","R0042200","R0042300","R0042400","R0042500","R0042600","R0042700","R0042800","R0042900","R0043000","R0043100","R0043200","R0043300","R0043400","R0043500","R0043600","R0062300","R0062310","R0062550","R0062600","R0062900","R0063000","R0063030","R0063060","R0063090","R0063100","R0063200","R0063230","R0171200","R0171300","R0171400","R0171500","R0171600","R0171700","R0171800","R0454700","R0507300","R0543940"
4592,17,9,48,1,1,1,1,2,1,8,1,1,20,2,1,3,4,4,0,2,6,0,1,1,3,-4,1,8,4,18,17,-4,-4,200,1,-4,250,1,4,4,-4,-4,-4,-4,-4,-4,-4,775,1,3,1,2,2,2,1,4,1,2,3,2,2,4,2,4,1,4,1,4,1,2,1,1,1,1,1,2,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,64,823,0,1,-4,-4,1,2,2,1,2,1,1,1,1,1,1,6,1,494,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,42,-4,10,1,52,48,494,7,39,-4,9,1,52,40,394,0,0,39,5,89,1,52,494,39,10,1,52,0,-4,-4,-4,-4,-4,-4,260,1,12
4593,23,12,42,2,1,1,0,3,2,6,1,2,24,1,4,4,2,1,0,2,6,1,1,1,1,-4,3,1,2,-4,8,9,-4,80,3,-4,150,3,-4,4,-4,-4,-4,-4,-4,-4,-4,472,1,2,1,3,2,3,3,4,1,3,2,3,-2,-4,3,4,1,3,1,4,2,2,2,2,1,1,1,1,2,1,2,-4,0,0,2,2,0,0,2,0,0,0,0,0,0,0,500,2,1,-4,1,1,3,1,2,1,1,1,1,1,1,2,6,775,0,1,0,3,-4,-4,-4,3,-4,-4,-4,-4,1,1,19,0,11,0,13,55,674,2,0,-4,-4,-4,-4,-4,-4,-498,-498,18,6,76,-4,-4,-4,-4,-4,-4,-4,2,1,1,1,1,1,2,500,5,12
4594,14,9,51,2,6,1,0,3,2,6,1,2,24,1,4,4,2,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,1,4,2,4,1,4,1,4,3,2,2,4,2,4,-2,-4,3,4,1,2,1,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,3,2,1,1,1,1,1,1,1,1,3,1,775,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,11,11,1,6,0,-4,-4,-4,11,8,1,4,0,-4,-4,-4,0,0,18,6,64,1,51,775,18,5,0,0,2,1,2,2,3,5,5,210,1,14
4595,23,11,42,2,6,1,0,3,2,6,1,1,24,1,4,4,2,1,0,2,6,0,1,1,1,-4,2,2,-4,-4,2,-4,-4,165,1,-4,225,1,4,4,-4,-4,-4,-4,-4,-4,-4,775,3,2,2,3,2,2,1,4,3,2,3,2,1,2,2,4,3,2,1,4,1,2,1,1,1,1,1,1,2,1,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,2,0,-4,1,3,2,2,1,1,1,1,1,1,1,3,8,804,0,1,0,3,-4,-4,-4,3,-4,-4,-4,-4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,0,0,7,7,-4,-4,-4,-4,-4,-4,-4,-4,2,1,1,1,1,2,3,-5,-5,-5
4596,19,3,47,2,6,1,1,1,2,6,1,1,24,1,4,4,2,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,3,2,1,1,4,1,2,2,1,1,3,3,4,1,4,1,1,2,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,20,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,694,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,50,-4,12,1,52,45,714,7,47,-4,12,1,52,40,290,20,20,18,6,112,1,52,714,10,12,1,52,0,-4,-4,-4,-4,-4,-4,711,1,14
4597,16,12,49,2,6,1,0,3,2,6,1,1,24,1,4,4,2,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,2,1,2,1,2,1,2,2,1,-2,-4,2,4,1,3,1,4,1,2,1,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,714,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,50,-4,12,1,52,62,714,7,49,-4,12,1,52,45,823,0,0,10,6,110,1,52,714,10,12,1,52,2,2,2,3,3,6,5,-4,-4,12
4598,14,2,52,2,6,1,0,3,2,6,1,2,24,1,4,4,2,1,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,1,2,2,1,4,3,4,3,2,1,2,2,4,1,4,1,4,1,2,1,1,2,1,2,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,775,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,43,-4,12,1,52,56,775,7,31,-4,11,0,52,40,804,0,0,18,6,99,1,52,775,18,12,1,52,-4,-4,-4,-4,-4,-4,-4,-4,5,12
4599,24,2,42,1,1,1,0,3,2,6,1,1,24,1,4,4,2,1,0,2,1,-4,1,1,2,-4,2,14,-4,-4,1,8,15,185,1,-4,-4,-4,-2,4,-4,-4,-4,-4,-4,-4,-4,775,1,1,3,2,2,1,3,2,1,3,2,1,2,4,2,4,1,4,1,3,2,2,1,1,1,1,1,1,2,1,2,-4,0,1,1,-4,0,0,0,0,0,0,0,0,0,0,2000,1,-4,-4,1,1,2,1,2,1,1,1,1,1,1,3,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,58,-4,11,0,0,-4,-4,7,52,-4,7,1,20,48,810,-2000,-2000,68,2,121,0,0,-4,-4,10,1,20,2,1,1,1,2,3,4,-5,-5,-5
4600,22,7,43,1,6,1,0,3,2,6,1,1,24,1,4,4,2,1,0,2,6,0,1,1,2,-4,3,9,-4,-4,15,-4,-4,75,3,-4,100,3,4,4,-4,-4,-4,-4,-4,-4,-4,775,1,1,3,2,2,1,1,3,1,2,3,1,2,2,2,3,1,4,1,2,1,1,2,2,1,1,1,1,1,0,2,-4,0,0,1,-4,0,0,0,0,0,0,0,0,60,250,1400,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,290,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,10,20,0,12,1,0,-4,-4,10,16,-4,-4,-4,-4,-4,-4,-1400,-1400,68,2,108,0,0,-4,-4,10,1,20,0,-4,-4,-4,-4,-4,-4,-4,5,12
4601,24,2,42,1,1,1,0,3,2,6,1,2,24,1,4,4,2,1,0,2,6,0,1,1,1,-4,1,21,21,4,9,-4,-4,-4,-4,4,-4,-4,4,6,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,1,2,1,1,4,1,3,3,1,2,4,3,4,1,4,1,4,1,2,1,1,1,1,1,1,2,0,2,-4,0,0,2,2,0,0,0,0,0,0,0,0,61,250,1400,2,2,-4,1,1,2,1,2,1,1,1,1,1,1,3,1,290,1,1,0,4,-4,12,0,4,0,-4,12,1,1,1,22,0,12,1,44,40,353,2,3,-4,-4,-4,-4,-4,-4,-1400,-1400,68,2,109,0,0,-4,-4,11,0,0,2,1,1,2,2,3,4,190,1,13
4602,14,6,51,1,6,1,0,3,1,8,5,1,24,1,4,4,2,1,1,1,6,0,2,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,-2,3,2,2,2,1,4,1,4,3,2,-2,-4,3,4,1,4,3,4,1,2,1,2,1,2,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,1,854,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,39,-4,12,1,52,65,853,7,34,-4,12,1,52,10,674,0,0,34,8,115,1,52,853,39,12,1,52,1,2,2,3,3,6,5,-4,5,12
4603,15,3,51,2,6,1,0,3,2,8,5,1,24,1,4,4,2,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,1,2,-2,-4,-2,-4,1,4,3,2,2,4,-2,-4,-2,-4,1,4,2,1,2,1,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,0,0,0,-4,0,0,-4,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,2,5,890,1,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,0,7,42,-4,16,1,52,40,890,10,16,1,11,0,0,-4,-4,0,0,11,8,100,-4,-4,-4,-4,-4,1,52,2,2,2,3,3,6,5,13500,6,16
4604,24,6,41,1,1,1,0,3,2,8,5,1,24,1,4,4,2,1,0,2,1,-4,1,1,3,-4,2,8,8,-4,17,-4,-4,172,3,-4,172,3,-4,2,-4,-4,-4,538,453,1,-4,-4,1,1,3,1,2,1,-2,-4,1,2,3,1,2,3,3,4,1,3,1,2,1,2,1,1,1,1,1,1,2,0,2,-4,0,0,2,1,16500,10000,700,0,550,0,0,0,63,0,0,2,1,7,1,1,3,1,2,1,1,1,1,1,1,2,1,775,1,1,1,4,-4,8,1,4,0,-4,8,1,1,1,25,-4,12,1,29,45,342,2,0,-4,-4,-4,-4,-4,-4,7750,7750,18,6,93,0,0,-4,-4,8,0,0,0,-4,-4,-4,-4,-4,-4,-5,-5,-5
4605,19,7,46,1,1,1,0,3,1,8,5,2,24,1,4,4,2,1,0,2,6,0,-4,-4,-4,-4,4,22,22,-4,1,-4,-4,175,1,-4,200,1,-4,4,-4,-4,-4,-4,-4,-4,-4,775,-2,-4,3,2,2,1,1,-2,-2,-4,3,1,-2,-4,3,4,-2,-4,1,2,2,2,2,1,1,-2,1,1,2,1,2,-4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1000,2,1,7,-4,1,1,2,2,1,1,1,1,1,1,2,5,674,0,0,0,2,-4,-4,-4,4,0,-4,4,0,1,1,17,-4,-4,-4,14,40,643,2,0,-4,-4,-4,-4,-4,-4,-1000,-1000,15,6,78,-4,-4,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4606,16,6,49,1,6,1,0,3,2,8,5,2,24,1,4,4,2,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,2,2,2,2,3,3,1,2,3,2,2,2,2,4,1,3,1,3,1,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,50,0,0,0,0,0,0,0,0,2,0,-4,1,1,3,4,1,1,1,1,1,1,1,3,1,851,0,1,0,2,-4,-4,-4,2,-4,-4,-4,-4,1,11,40,-4,9,1,18,30,632,13,40,-4,7,1,0,-4,-4,50,50,18,8,72,-4,-4,-4,-4,-4,-4,-4,1,2,3,4,5,9,7,253,1,13
4607,18,8,47,1,6,1,0,3,2,8,5,1,24,1,4,4,2,1,1,1,6,0,1,1,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,2,2,1,3,3,2,2,4,-2,-4,1,4,1,2,1,2,1,2,1,1,1,1,2,1,1,0,0,0,1,-4,0,0,82,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,715,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,41,-4,11,0,32,45,715,7,39,-4,12,1,52,45,430,82,82,15,6,96,1,32,715,15,10,1,52,1,2,3,4,5,9,7,15000,1,16
4608,23,10,42,1,1,1,0,3,2,8,4,2,24,1,4,4,2,1,0,2,6,1,1,1,1,-4,2,16,1,18,8,-4,-4,225,1,-4,225,1,-4,6,-4,-4,-4,-4,-4,-4,-4,-4,3,1,3,2,2,1,1,3,-2,-4,2,1,-2,-4,3,2,1,2,1,2,1,2,1,1,1,1,1,1,1,0,2,-4,0,0,2,2,0,0,190,0,0,0,0,0,54,0,350,2,0,-4,1,1,2,4,2,1,1,1,1,1,1,5,6,430,0,1,1,2,-4,-4,-4,2,-4,-4,-4,-4,1,1,18,0,9,1,52,40,705,-4,-4,-4,-4,-4,-4,-4,-4,-160,-160,49,5,81,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4609,22,3,44,1,1,1,0,3,2,8,5,1,24,1,4,4,2,1,0,2,6,0,1,1,2,-4,1,9,12,23,14,-4,-4,150,3,4,-4,-4,4,4,-4,-4,-4,-4,-4,-4,-4,472,1,1,3,2,2,2,1,4,1,2,3,2,2,4,3,4,1,4,1,3,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,2,1,15000,11000,200,0,0,0,0,0,57,0,0,2,1,7,1,1,3,1,2,1,1,1,1,1,1,3,1,430,0,1,1,4,1,12,1,4,1,1,10,0,1,1,19,-4,-4,-4,40,40,305,2,0,-4,-4,-4,-4,-4,-4,4200,4200,49,5,109,1,52,430,49,12,1,52,2,2,3,3,4,7,6,19000,1,12
4610,16,2,50,1,6,1,0,3,2,8,5,2,24,1,4,4,2,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,3,3,2,2,-2,-4,1,3,3,2,2,3,-2,-4,1,3,1,2,2,2,2,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,3,1,385,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,41,-4,8,1,52,55,480,7,47,-4,5,1,50,44,775,0,0,66,4,87,1,52,480,27,8,1,50,1,2,2,3,3,6,5,150,1,13
4611,17,5,48,1,6,1,1,1,2,8,1,1,24,1,4,4,2,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,2,1,4,1,3,3,2,2,4,3,3,1,4,1,2,1,1,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,100,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,430,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,40,-4,12,1,52,50,430,7,36,-4,12,1,45,40,693,100,100,49,5,109,1,52,430,49,12,1,45,1,2,3,4,5,10,8,1025,1,18
4612,17,2,49,1,6,1,0,3,2,8,5,1,24,1,4,4,2,1,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,3,2,2,1,1,4,1,3,3,1,1,4,3,4,1,4,1,4,1,2,1,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,100,0,0,0,0,0,55,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,1,985,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,42,-4,11,0,52,40,985,7,42,-4,12,1,52,45,353,100,100,7,11,94,1,52,985,7,10,1,52,3,2,3,4,5,9,7,-5,-5,-5
4613,24,6,41,1,6,1,0,3,2,8,5,1,24,1,4,4,2,1,0,2,2,-4,1,1,1,-4,1,8,-4,-4,25,-4,-4,125,3,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,995,1,3,1,2,2,2,1,4,1,3,3,1,2,4,3,4,1,4,1,4,1,2,2,1,1,1,1,1,2,1,2,-4,0,0,2,1,10000,6500,50,0,0,0,0,0,65,0,3000,2,0,-4,1,1,2,1,1,1,1,1,1,1,1,3,1,290,0,1,0,4,-4,12,1,4,1,1,9,1,0,11,24,-4,-4,-4,48,40,555,-4,-4,-4,-4,-4,-4,-4,-4,550,550,68,2,100,-2,-2,-4,-4,12,1,51,1,2,3,3,4,7,6,-5,-5,-5
4614,24,6,41,1,6,1,0,3,2,8,5,1,24,1,4,4,2,1,0,2,3,-4,1,1,1,-4,2,2,16,-4,14,-4,-4,75,3,-4,100,3,-4,2,-4,-4,-4,826,995,1,-4,-4,2,2,3,2,2,2,3,2,1,3,3,2,2,4,3,4,1,4,1,4,1,2,2,1,1,1,1,1,2,0,2,-4,0,0,1,-4,0,0,500,0,0,3,30000,14000,62,0,0,2,0,-4,1,1,2,1,1,1,1,1,1,1,1,3,1,290,0,1,0,4,1,12,1,4,1,1,8,1,0,11,24,-4,-4,-4,46,48,480,-4,-4,-4,-4,-4,-4,-4,-4,16500,16500,68,2,97,1,43,812,26,12,1,52,1,2,2,3,3,6,5,-5,-5,-5
4615,17,1,49,1,6,1,0,3,2,8,4,2,24,1,4,4,2,1,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,2,2,1,1,2,1,1,4,-2,-4,3,1,2,3,1,3,1,3,1,2,1,1,1,2,1,1,1,1,2,0,1,0,1,-4,1,-4,0,0,6,0,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,1,1,902,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,62,-4,7,1,52,40,902,7,55,-4,7,1,0,-4,-4,6,6,6,10,88,1,52,902,6,7,0,0,3,1,1,1,1,2,3,-5,-5,-5
4616,22,9,43,1,6,1,0,3,1,7,1,1,28,2,4,4,4,4,0,2,1,-4,1,-4,4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,2,2,1,1,4,1,3,3,1,2,4,2,3,1,3,1,4,1,2,1,1,1,1,1,1,-2,0,2,-4,0,0,1,-4,0,0,800,0,0,0,0,0,62,200,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,3,1,370,1,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,65,-4,-4,-4,6,40,851,7,51,-4,12,1,0,-4,-4,800,800,44,3,104,1,6,851,18,-4,0,0,15,2,3,4,5,9,7,764,1,16
4617,16,1,50,1,6,1,0,3,1,7,1,2,28,2,4,4,4,4,1,1,6,0,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,3,3,2,2,2,-2,-4,3,3,2,2,-2,-4,-2,-4,-2,-4,1,2,2,2,2,2,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,57,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,3,1,472,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,55,-4,5,0,52,54,472,7,56,-4,9,1,0,-4,-4,0,0,19,5,71,1,52,472,19,4,0,0,-4,-4,-4,-4,-4,-4,-4,200,1,12
4618,23,5,42,1,1,1,0,3,1,8,5,1,28,2,4,4,4,4,0,2,6,0,-4,-4,-4,-4,1,12,15,16,25,-4,-4,120,3,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,394,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,2,2,2,2,1,1,1,1,2,1,2,-4,0,0,2,1,3000,2500,-2,0,0,0,0,0,51,0,0,2,1,7,1,3,2,1,2,1,1,1,1,1,1,3,1,685,0,1,0,1,-4,-4,-4,1,-4,-4,-4,-4,1,1,19,-4,-4,-4,-4,-4,-4,7,-4,-4,10,-4,-4,-4,-4,-2,500,10,6,-4,-4,-4,-4,-4,-4,0,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5
4619,17,2,49,2,6,1,0,3,1,8,5,1,28,2,4,4,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-2,3,2,2,2,3,2,1,2,-2,-4,2,2,2,2,-2,-4,1,2,1,1,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,5,804,0,0,0,3,-4,-4,-4,1,-4,-4,-4,-4,1,7,39,-4,9,1,52,7,804,11,14,1,10,0,8,8,834,0,0,7,7,76,-4,-4,-4,-4,-4,1,52,2,1,2,2,3,5,5,-5,-5,-5
4620,14,10,51,2,6,1,0,3,1,8,5,1,28,2,4,4,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,-2,-4,2,2,2,2,2,2,1,1,2,0,1,0,0,0,1,-4,0,0,50,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,1,1,1,1,1,1,1,1,2,5,804,0,0,0,3,-4,-4,-4,1,-4,-4,-4,-4,1,11,7,1,3,0,-4,-4,-4,11,8,1,4,0,-4,-4,-4,50,50,7,7,76,-4,-4,-4,-4,-4,1,52,2,1,1,1,1,1,1,-5,-5,-5
4621,14,1,52,1,6,1,0,3,1,8,5,1,28,2,4,4,4,4,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,2,3,2,2,2,2,2,3,3,3,3,4,2,4,3,3,3,3,1,2,1,1,1,1,1,1,2,0,1,0,0,0,1,-4,0,0,2000,-2,0,0,0,0,0,0,0,1,-4,-4,1,2,2,1,1,1,1,1,1,1,1,3,1,394,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,40,-4,12,1,45,72,394,7,40,-4,12,1,0,-4,-4,-2,2000,47,4,119,1,45,394,47,12,0,0,-4,-4,-4,-4,-4,-4,-4,-5,-5,-5
4622,15,12,50,2,6,1,0,3,1,8,5,3,28,2,4,4,4,4,1,1,6,0,1,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,-2,3,-2,2,-2,3,-2,1,4,2,-2,2,-2,2,4,1,-2,1,4,1,2,2,2,2,1,1,1,2,0,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,4,2,1,1,1,1,1,1,1,1,3,1,555,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,1,6,26,-4,11,1,52,40,555,7,30,-4,10,1,39,40,693,0,0,18,12,95,1,52,555,18,11,1,39,2,1,1,1,1,1,2,275,1,11
4623,14,1,52,2,6,1,0,3,1,8,5,3,28,2,4,4,4,4,1,1,6,0,1,1,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,2,2,4,2,2,2,3,-2,-4,-2,-4,3,4,2,4,1,2,3,4,1,2,2,1,1,2,1,1,2,0,1,0,0,0,1,-4,0,0,0,-4,-4,0,0,0,0,0,0,-4,-4,-4,1,4,2,1,1,1,1,1,1,1,1,3,1,555,0,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,-4,6,26,-4,11,1,52,40,555,7,30,-4,10,1,39,40,693,-4,0,18,12,90,1,52,555,18,11,1,39,-5,-5,-5,-5,-5,-5,-5,260,6,10
4624,18,10,47,1,6,1,1,1,2,8,2,1,28,2,4,4,4,4,1,1,6,0,3,0,-4,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,1,3,2,2,2,3,4,1,3,3,2,2,4,2,3,1,3,1,3,1,2,1,2,1,1,1,1,2,0,1,0,1,-4,1,-4,0,0,4500,0,250,0,0,0,0,0,0,1,-4,-4,1,3,2,1,1,1,1,1,1,1,1,1,1,290,1,1,1,1,-4,-4,-4,1,-4,-4,-4,-4,0,6,52,-4,12,1,52,35,290,7,50,-4,16,1,0,-4,-4,4750,4750,68,2,135,1,52,290,68,12,0,0,7,2,3,4,5,10,9,20000,6,16
4625,18,11,47,2,6,1,0,3,1,8,5,1,28,2,4,4,4,4,0,2,6,1,1,1,1,-4,1,25,-4,-4,25,-4,-4,50,3,-4,-4,-4,3,4,-4,-4,-4,-4,-4,-4,-4,995,1,-2,3,3,2,3,-2,-4,-2,-4,3,1,2,4,2,4,1,3,2,4,2,2,2,2,2,2,1,1,2,0,2,-4,0,0,1,-4,0,0,300,0,0,0,0,0,61,900,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,1,5,200,0,0,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,13,6,1,1,0,-4,-4,-4,13,19,0,9,1,52,40,775,300,300,14,9,49,-4,-4,-4,-4,-4,1,2,2,1,1,1,1,1,1,250,1,12
4626,16,2,50,2,6,1,0,3,1,8,5,1,28,2,4,4,4,4,1,1,6,0,1,1,2,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,-4,1,4,1,2,2,4,-2,-4,2,2,2,4,3,4,1,4,1,2,1,4,1,2,1,2,1,1,1,1,1,1,1,0,0,0,1,-4,0,0,0,0,0,0,0,0,0,0,0,1,-4,-4,1,1,3,2,1,1,1,1,1,1,1,2,5,775,0,1,0,2,-4,-4,-4,1,-4,-4,-4,-4,1,7,54,-4,-4,-4,27,40,775,10,35,-4,11,0,52,40,804,0,0,18,6,72,-4,-4,-4,-4,-4,1,27,2,1,1,1,1,2,3,150,1,12
